Episódio 1/100, Score: 104.0
Episódio 2/100, Score: 140.0
Episódio 3/100, Score: 180.0
Episódio 4/100, Score: 147.0
Episódio 5/100, Score: 168.0
Episódio 6/100, Score: 115.0
Episódio 7/100, Score: 186.0
Episódio 8/100, Score: 113.0
Episódio 9/100, Score: 141.0
Episódio 10/100, Score: 233.0
Episódio 11/100, Score: 149.0
Episódio 12/100, Score: 94.0
Episódio 13/100, Score: 100.0
Episódio 14/100, Score: 103.0
Episódio 15/100, Score: 139.0
Episódio 16/100, Score: 107.0
Episódio 17/100, Score: 125.0
Episódio 18/100, Score: 101.0
Episódio 19/100, Score: 77.0
Episódio 20/100, Score: 123.0
Episódio 21/100, Score: 112.0
Episódio 22/100, Score: 118.0
Episódio 23/100, Score: 124.0
Episódio 24/100, Score: 135.0
Episódio 25/100, Score: 157.0
Episódio 26/100, Score: 148.0
Episódio 27/100, Score: 112.0
Episódio 28/100, Score: 120.0
Episódio 29/100, Score: 101.0
Episódio 30/100, Score: 137.0
Episódio 31/100, Score: 142.0
Episódio 32/100, Score: 126.0
Episódio 33/100, Score: 220.0
Episódio 34/100, Score: 193.0
Episódio 35/100, Score: 77.0
Episódio 36/100, Score: 144.0
Episódio 37/100, Score: 133.0
Episódio 38/100, Score: 113.0
Episódio 39/100, Score: 137.0
Episódio 40/100, Score: 123.0
Episódio 41/100, Score: 137.0
Episódio 42/100, Score: 77.0
Episódio 43/100, Score: 151.0
Episódio 44/100, Score: 105.0
Episódio 45/100, Score: 110.0
Episódio 46/100, Score: 157.0
Episódio 47/100, Score: 156.0
Episódio 48/100, Score: 74.0
Episódio 49/100, Score: 191.0
Episódio 50/100, Score: 162.0
Episódio 51/100, Score: 216.0
Episódio 52/100, Score: 107.0
Episódio 53/100, Score: 214.0
Episódio 54/100, Score: 137.0
Episódio 55/100, Score: 169.0
Episódio 56/100, Score: 109.0
Episódio 57/100, Score: 133.0
Episódio 58/100, Score: 150.0
Episódio 59/100, Score: 123.0
Episódio 60/100, Score: 141.0
