Episódio 1/100, Score: 227.0
Episódio 2/100, Score: 280.0
Episódio 3/100, Score: 238.0
Episódio 4/100, Score: 261.0
Episódio 5/100, Score: 223.0
Episódio 6/100, Score: 283.0
Episódio 7/100, Score: 305.0
Episódio 8/100, Score: 285.0
Episódio 9/100, Score: 224.0
Episódio 10/100, Score: 282.0
Episódio 11/100, Score: 229.0
Episódio 12/100, Score: 301.0
Episódio 13/100, Score: 263.0
Episódio 14/100, Score: 293.0
Episódio 15/100, Score: 229.0
Episódio 16/100, Score: 235.0
Episódio 17/100, Score: 314.0
Episódio 18/100, Score: 351.0
Episódio 19/100, Score: 318.0
Episódio 20/100, Score: 261.0
Episódio 21/100, Score: 290.0
Episódio 22/100, Score: 303.0
Episódio 23/100, Score: 242.0
Episódio 24/100, Score: 294.0
Episódio 25/100, Score: 326.0
Episódio 26/100, Score: 245.0
Episódio 27/100, Score: 228.0
Episódio 28/100, Score: 282.0
Episódio 29/100, Score: 241.0
Episódio 30/100, Score: 310.0
Episódio 31/100, Score: 293.0
Episódio 32/100, Score: 285.0
Episódio 33/100, Score: 245.0
Episódio 34/100, Score: 224.0
Episódio 35/100, Score: 236.0
Episódio 36/100, Score: 405.0
Episódio 37/100, Score: 229.0
Episódio 38/100, Score: 245.0
Episódio 39/100, Score: 295.0
Episódio 40/100, Score: 230.0
Episódio 41/100, Score: 229.0
Episódio 42/100, Score: 230.0
Episódio 43/100, Score: 217.0
Episódio 44/100, Score: 230.0
Episódio 45/100, Score: 232.0
Episódio 46/100, Score: 259.0
Episódio 47/100, Score: 264.0
Episódio 48/100, Score: 246.0
Episódio 49/100, Score: 229.0
Episódio 50/100, Score: 288.0
Episódio 51/100, Score: 231.0
Episódio 52/100, Score: 265.0
Episódio 53/100, Score: 287.0
Episódio 54/100, Score: 329.0
Episódio 55/100, Score: 330.0
Episódio 56/100, Score: 298.0
Episódio 57/100, Score: 216.0
Episódio 58/100, Score: 226.0
Episódio 59/100, Score: 287.0
Episódio 60/100, Score: 287.0
Episódio 61/100, Score: 233.0
Episódio 62/100, Score: 299.0
Episódio 63/100, Score: 292.0
Episódio 64/100, Score: 299.0
Episódio 65/100, Score: 330.0
Episódio 66/100, Score: 215.0
Episódio 67/100, Score: 248.0
Episódio 68/100, Score: 255.0
Episódio 69/100, Score: 223.0
Episódio 70/100, Score: 237.0
Episódio 71/100, Score: 236.0
Episódio 72/100, Score: 279.0
Episódio 73/100, Score: 225.0
Episódio 74/100, Score: 226.0
Episódio 75/100, Score: 238.0
Episódio 76/100, Score: 217.0
Episódio 77/100, Score: 280.0
Episódio 78/100, Score: 241.0
Episódio 79/100, Score: 219.0
Episódio 80/100, Score: 275.0
Episódio 81/100, Score: 234.0
Episódio 82/100, Score: 257.0
Episódio 83/100, Score: 250.0
Episódio 84/100, Score: 237.0
Episódio 85/100, Score: 227.0
Episódio 86/100, Score: 230.0
Episódio 87/100, Score: 308.0
Episódio 88/100, Score: 230.0
Episódio 89/100, Score: 249.0
Episódio 90/100, Score: 231.0
Episódio 91/100, Score: 275.0
Episódio 92/100, Score: 239.0
Episódio 93/100, Score: 278.0
Episódio 94/100, Score: 234.0
Episódio 95/100, Score: 273.0
Episódio 96/100, Score: 242.0
Episódio 97/100, Score: 275.0
Episódio 98/100, Score: 232.0
Episódio 99/100, Score: 291.0
Episódio 100/100, Score: 261.0

==================================================
ESTATÍSTICAS DOS SCORES:
Média: 261.50
Mediana: 249.50
Melhor score: 405.0
Pior score: 215.0
==================================================
