Episódio 1/100, Score: 229.0
Episódio 2/100, Score: 235.0
Episódio 3/100, Score: 236.0
Episódio 4/100, Score: 255.0
Episódio 5/100, Score: 285.0
Episódio 6/100, Score: 294.0
Episódio 7/100, Score: 261.0
Episódio 8/100, Score: 224.0
Episódio 9/100, Score: 244.0
Episódio 10/100, Score: 322.0
Episódio 11/100, Score: 215.0
Episódio 12/100, Score: 313.0
Episódio 13/100, Score: 330.0
Episódio 14/100, Score: 227.0
Episódio 15/100, Score: 249.0
Episódio 16/100, Score: 290.0
Episódio 17/100, Score: 234.0
Episódio 18/100, Score: 237.0
Episódio 19/100, Score: 310.0
Episódio 20/100, Score: 228.0
Episódio 21/100, Score: 233.0
Episódio 22/100, Score: 280.0
Episódio 23/100, Score: 229.0
Episódio 24/100, Score: 238.0
Episódio 25/100, Score: 319.0
Episódio 26/100, Score: 263.0
Episódio 27/100, Score: 252.0
Episódio 28/100, Score: 297.0
Episódio 29/100, Score: 224.0
Episódio 30/100, Score: 238.0
Episódio 31/100, Score: 231.0
Episódio 32/100, Score: 340.0
Episódio 33/100, Score: 293.0
Episódio 34/100, Score: 222.0
Episódio 35/100, Score: 319.0
Episódio 36/100, Score: 310.0
Episódio 37/100, Score: 349.0
Episódio 38/100, Score: 221.0
Episódio 39/100, Score: 341.0
Episódio 40/100, Score: 362.0
Episódio 41/100, Score: 305.0
Episódio 42/100, Score: 319.0
Episódio 43/100, Score: 306.0
Episódio 44/100, Score: 300.0
Episódio 45/100, Score: 244.0
Episódio 46/100, Score: 324.0
Episódio 47/100, Score: 168.0
Episódio 48/100, Score: 348.0
Episódio 49/100, Score: 279.0
Episódio 50/100, Score: 284.0
Episódio 51/100, Score: 218.0
Episódio 52/100, Score: 211.0
Episódio 53/100, Score: 234.0
Episódio 54/100, Score: 322.0
Episódio 55/100, Score: 227.0
Episódio 56/100, Score: 280.0
Episódio 57/100, Score: 225.0
Episódio 58/100, Score: 381.0
Episódio 59/100, Score: 269.0
Episódio 60/100, Score: 268.0
Episódio 61/100, Score: 219.0
Episódio 62/100, Score: 297.0
Episódio 63/100, Score: 223.0
Episódio 64/100, Score: 270.0
Episódio 65/100, Score: 238.0
Episódio 66/100, Score: 217.0
Episódio 67/100, Score: 262.0
Episódio 68/100, Score: 307.0
Episódio 69/100, Score: 291.0
Episódio 70/100, Score: 273.0
Episódio 71/100, Score: 304.0
Episódio 72/100, Score: 227.0
Episódio 73/100, Score: 306.0
Episódio 74/100, Score: 257.0
Episódio 75/100, Score: 225.0
Episódio 76/100, Score: 229.0
Episódio 77/100, Score: 267.0
Episódio 78/100, Score: 282.0
Episódio 79/100, Score: 288.0
Episódio 80/100, Score: 235.0
Episódio 81/100, Score: 337.0
Episódio 82/100, Score: 289.0
Episódio 83/100, Score: 254.0
Episódio 84/100, Score: 210.0
Episódio 85/100, Score: 245.0
Episódio 86/100, Score: 253.0
Episódio 87/100, Score: 230.0
Episódio 88/100, Score: 231.0
Episódio 89/100, Score: 311.0
Episódio 90/100, Score: 221.0
Episódio 91/100, Score: 250.0
Episódio 92/100, Score: 232.0
Episódio 93/100, Score: 315.0
Episódio 94/100, Score: 222.0
Episódio 95/100, Score: 279.0
Episódio 96/100, Score: 220.0
Episódio 97/100, Score: 350.0
Episódio 98/100, Score: 302.0
Episódio 99/100, Score: 225.0
Episódio 100/100, Score: 262.0

==================================================
ESTATÍSTICAS DOS SCORES:
Média: 267.46
Mediana: 261.50
Melhor score: 381.0
Pior score: 168.0
==================================================
