Episódio 1/100, Score: 241.0
Episódio 2/100, Score: 245.0
Episódio 3/100, Score: 236.0
Episódio 4/100, Score: 224.0
Episódio 5/100, Score: 210.0
Episódio 6/100, Score: 271.0
Episódio 7/100, Score: 282.0
Episódio 8/100, Score: 275.0
Episódio 9/100, Score: 273.0
Episódio 10/100, Score: 275.0
Episódio 11/100, Score: 225.0
Episódio 12/100, Score: 273.0
Episódio 13/100, Score: 243.0
Episódio 14/100, Score: 223.0
Episódio 15/100, Score: 225.0
Episódio 16/100, Score: 244.0
Episódio 17/100, Score: 278.0
Episódio 18/100, Score: 275.0
Episódio 19/100, Score: 221.0
Episódio 20/100, Score: 286.0
Episódio 21/100, Score: 255.0
Episódio 22/100, Score: 228.0
Episódio 23/100, Score: 270.0
Episódio 24/100, Score: 293.0
Episódio 25/100, Score: 279.0
Episódio 26/100, Score: 280.0
Episódio 27/100, Score: 242.0
Episódio 28/100, Score: 314.0
Episódio 29/100, Score: 327.0
Episódio 30/100, Score: 281.0
Episódio 31/100, Score: 269.0
Episódio 32/100, Score: 270.0
Episódio 33/100, Score: 286.0
Episódio 34/100, Score: 222.0
Episódio 35/100, Score: 273.0
Episódio 36/100, Score: 239.0
Episódio 37/100, Score: 357.0
Episódio 38/100, Score: 218.0
Episódio 39/100, Score: 308.0
Episódio 40/100, Score: 303.0
Episódio 41/100, Score: 298.0
Episódio 42/100, Score: 238.0
Episódio 43/100, Score: 222.0
Episódio 44/100, Score: 222.0
Episódio 45/100, Score: 273.0
Episódio 46/100, Score: 253.0
Episódio 47/100, Score: 354.0
Episódio 48/100, Score: 284.0
Episódio 49/100, Score: 245.0
Episódio 50/100, Score: 334.0
Episódio 51/100, Score: 237.0
Episódio 52/100, Score: 230.0
Episódio 53/100, Score: 336.0
Episódio 54/100, Score: 229.0
Episódio 55/100, Score: 287.0
Episódio 56/100, Score: 284.0
Episódio 57/100, Score: 320.0
Episódio 58/100, Score: 240.0
Episódio 59/100, Score: 278.0
Episódio 60/100, Score: 321.0
Episódio 61/100, Score: 289.0
Episódio 62/100, Score: 243.0
Episódio 63/100, Score: 237.0
Episódio 64/100, Score: 227.0
Episódio 65/100, Score: 225.0
Episódio 66/100, Score: 332.0
Episódio 67/100, Score: 254.0
Episódio 68/100, Score: 268.0
Episódio 69/100, Score: 279.0
Episódio 70/100, Score: 328.0
Episódio 71/100, Score: 312.0
Episódio 72/100, Score: 236.0
Episódio 73/100, Score: 239.0
Episódio 74/100, Score: 250.0
Episódio 75/100, Score: 256.0
Episódio 76/100, Score: 225.0
Episódio 77/100, Score: 223.0
Episódio 78/100, Score: 261.0
Episódio 79/100, Score: 285.0
Episódio 80/100, Score: 235.0
Episódio 81/100, Score: 254.0
Episódio 82/100, Score: 216.0
Episódio 83/100, Score: 280.0
Episódio 84/100, Score: 324.0
Episódio 85/100, Score: 226.0
Episódio 86/100, Score: 230.0
Episódio 87/100, Score: 248.0
Episódio 88/100, Score: 276.0
Episódio 89/100, Score: 298.0
Episódio 90/100, Score: 231.0
Episódio 91/100, Score: 335.0
Episódio 92/100, Score: 298.0
Episódio 93/100, Score: 228.0
Episódio 94/100, Score: 274.0
Episódio 95/100, Score: 303.0
Episódio 96/100, Score: 324.0
Episódio 97/100, Score: 279.0
Episódio 98/100, Score: 336.0
Episódio 99/100, Score: 243.0
Episódio 100/100, Score: 296.0

==================================================
ESTATÍSTICAS DOS SCORES:
Média: 267.27
Mediana: 270.00
Melhor score: 357.0
Pior score: 210.0
==================================================
